-2,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D"
-2,is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!
-2,@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds
-2,my whole body feels itchy and like its on fire 
-2,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. "
-2,@Kwesidei not the whole crew 
-2,Need a hug 
-2,"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?"
-2,@Tatiana_K nope they didn't have it 
-2,@twittera que me muera ? 
-2,spring break in plain city... it's snowing 
-2,I just re-pierced my ears 
-2,@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .
-2,"@octolinz16 It it counts, idk why I did either. you never talk to me anymore "
-2,"@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown."
-2,@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!
-2,Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?
-2,about to file taxes 
-2,@LettyA ahh ive always wanted to see rent  love the soundtrack!!
-2,@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? 
-2,@alydesigns i was out most of the day so didn't get much done 
-2,"one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh* "
-2,@angry_barista I baked you a cake but I ated it 
-2,this week is not going as i had hoped 
-2,blagh class at 8 tomorrow 
-2,I hate when I have to call and wake people up 
-2,Just going to cry myself to sleep after watching Marley and Me.  
-2,im sad now  Miss.Lilly
-2,ooooh.... LOL  that leslie.... and ok I won't do it again so leslie won't  get mad again 
-2,Meh... Almost Lover is the exception... this track gets me depressed every time. 
-2,some1 hacked my account on aim  now i have to make a new one
-2,@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though
-2,thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! 
-2,@julieebaby awe i love you too!!!! 1 am here  i miss you
-2,@HumpNinja I cry my asian eyes to sleep at night 
-2,ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now 
-2,@cocomix04 ill tell ya the story later  not a good day and ill be workin for like three more hours...
-2,@MissXu sorry! bed time came here (GMT+1)   http://is.gd/fNge
-2,@fleurylis I don't either. Its depressing. I don't think I even want to know about the kids in suitcases. 
-2,Bed. Class 8-12. Work 12-3. Gym 3-5 or 6. Then class 6-10. Another day that's gonna fly by. I miss my girlfriend 
-2,really don't feel like getting up today... but got to study to for tomorrows practical exam... 
-2,He's the reason for the teardrops on my guitar the only one who has enough of me to break my heart 
-2,"Sad, sad, sad. I don't know why but I hate this feeling  I wanna sleep and I still can't!"
-2,@JonathanRKnight Awww I soo wish I was there to see you finally comfortable! Im sad that I missed it 
-2,Falling asleep. Just heard about that Tracy girl's body being found. How sad  My heart breaks for that family.
-2,@Viennah Yay! I'm happy for you with your job! But that also means less time for me and you... 
-2,"Just checked my user timeline on my blackberry, it looks like the twanking is still happening  Are ppl still having probs w/ BGs and UIDs?"
-2,Oh man...was ironing @jeancjumbe's fave top to wear to a meeting. Burnt it 
-2,is strangely sad about LiLo and SamRo breaking up. 
-2,@tea oh! i'm so sorry  i didn't think about that before retweeting.
-2,Broadband plan 'a massive broken promise' http://tinyurl.com/dcuc33 via www.diigo.com/~tautao Still waiting for broadband we are 
-2,"@localtweeps Wow, tons of replies from you, may have to unfollow so I can see my friends' tweets, you're scrolling the feed a lot. "
-2,our duck and chicken are taking wayyy too long to hatch 
-2,"Put vacation photos online a few yrs ago. PC crashed, and now I forget the name of the site. "
-2,I need a hug 
-2,"@andywana Not sure what they are, only that they are PoS! As much as I want to, I dont think can trade away company assets sorry andy! "
-2,@oanhLove I hate when that happens... 
-2,"I have a sad feeling that Dallas is not going to show up  I gotta say though, you'd think more shows would use music from the game. mmm"
-2,Ugh....92 degrees tomorrow 
-2,Where did u move to?  I thought u were already in sd. ?? Hmmm. Random u found me. Glad to hear yer doing well.
-2,"@BatManYNG I miss my ps3, it's out of commission  Wutcha playing? Have you copped 'Blood On The Sand'?"
-2,just leaving the parking lot of work! 
-2,The Life is cool. But not for Me. 
-2,"Sadly though, I've never gotten to experience the post coitus cigarette before, and now I never will. "
